target,regressor,MSE,MAE,R2
u,SVR,19.113421529594515,3.4499558849640444,0.00028453258261618153
u,Ridge,19.18550444236074,3.469623538339271,-0.0034857187414241153
u,Linear,19.18625592527565,3.4697105119574876,-0.0035250245816877968
u,KNN,21.885966269367618,3.7202714783999995,-0.14473167271407505
u,RandomForest,23.477838006683875,3.887939989397,-0.22799352070270174
u,MLP,32.830067280053974,4.342773159903743,-0.7171559788709163
u,DecisionTree,35.31666980606683,4.593253745966666,-0.8472161568837919
v,MLP,668.1394358336112,19.089576152267824,0.3172133305954513
v,KNN,808.1352606304594,20.4605447552,0.1741484584788665
v,SVR,819.9075776362992,20.000693874109366,0.16211806379102245
v,RandomForest,882.0739095144262,20.822243660410994,0.09858889545327032
v,Linear,969.5724829311853,23.41046513541531,0.00917214152923429
v,Ridge,969.7326601804316,23.4167214693032,0.009008452806998024
v,DecisionTree,1227.0680750625986,23.278022656575004,-0.25396837721353815
w,MLP,0.08490812071504995,0.21068987715975787,0.971913500268607
w,SVR,0.11878535030007246,0.1703576152096796,0.9607073542412646
w,KNN,0.1617452840440395,0.24284764123999994,0.9464967680523428
w,RandomForest,0.3578978598134838,0.3690244821260001,0.8816120524295648
w,DecisionTree,0.8805353587400255,0.4955141033196969,0.7087303792798452
w,Ridge,2.9984301210736892,1.3832230548480005,0.008158394262876234
w,Linear,2.9987996850752126,1.383810994358955,0.008036147307672104
