target,regressor,RMSE,MAE,R2
u,SVR,4.370203883301282,3.4130769969645827,0.001055475350159929
u,Ridge,4.443770809752886,3.545047211014912,-0.03285956865255435
u,Linear,4.444995474481231,3.546149930262777,-0.03342894139290653
u,KNN,4.871225959241006,3.8074076723200005,-0.2411221444814502
u,RandomForest,5.011894855583233,3.8071834951910004,-0.3138381741320495
u,DecisionTree,6.450556233504442,4.825432388817648,-1.1763678653086562
u,MLP,7.584083098226328,5.56147436118756,-2.0084592921598956
v,MLP,1.5862979148811915,0.9614498546507686,0.9974284946384355
v,RandomForest,6.953636743543367,3.7032002850669965,0.9505869198450294
v,DecisionTree,9.142015441933124,5.651826982533334,0.9145913556706465
v,KNN,10.598539060292534,6.661667808400001,0.8852084455685869
v,Linear,10.9024281918992,7.21362716338619,0.8785312961741529
v,Ridge,10.964353548889084,7.195330534665512,0.877147502578026
v,SVR,25.6224569411667,15.80170949799085,0.3290974055378144
w,MLP,0.7971372723295411,0.4573309808368762,0.7898087550091337
w,SVR,0.8763704794141299,0.5793491211609318,0.7459472677688673
w,KNN,0.9605699550919928,0.63954803838,0.6947846389524734
w,RandomForest,1.1289914119615458,0.7480119260600003,0.5783717840274782
w,DecisionTree,1.3175261742303672,0.8332446860750001,0.42579510082714533
w,Linear,1.394704874519131,1.1493254845898246,0.35655263360510003
w,Ridge,1.3948580885366983,1.1484505825594389,0.3564112552061419
