target,regressor,MSE,MAE,R2
u,Ridge,19.02996039740001,3.4435936555213966,0.004649914503054853
u,Linear,19.03022050637155,3.4433476601912623,0.004636309667224614
u,SVR,19.165598173754905,3.4846249020892777,-0.00244453390735333
u,KNN,20.840824105558717,3.59937878898,-0.0900661705070509
u,RandomForest,24.987962273089284,3.9719954448820003,-0.30697961874434565
u,DecisionTree,38.615803758717504,4.702245133030953,-1.019775279092232
u,MLP,44.558257379654066,4.368920241795118,-1.3305915706736355
v,RandomForest,561.1971317598006,17.154364332540002,0.4265000688133548
v,MLP,788.1243291451018,20.257562031546207,0.19459807801602635
v,KNN,858.3868936266856,22.980691110080002,0.12279518806035816
v,SVR,988.8131622654709,22.365208174216995,-0.01049034006541505
v,DecisionTree,1004.4522187122482,22.078686664788094,-0.026472242481640818
v,Ridge,1033.4449171116946,24.71107099725673,-0.05610053100274892
v,Linear,1034.509290883162,24.725927147135952,-0.05718823842345366
w,RandomForest,1.1452935055014053,0.6264617023990001,0.6211518349041771
w,MLP,1.263909844067847,0.66363904300537,0.5819150960242095
w,DecisionTree,1.4591635267996663,0.6994073475291666,0.5173277225030726
w,KNN,2.172095737501983,1.00446036264,0.28149903879458016
w,SVR,2.9968079183251874,1.1885034463341555,0.008694997790034242
w,Ridge,3.0773261741871356,1.3536258022938514,-0.017939391860730902
w,Linear,3.078924928424598,1.3537636778980018,-0.01846823892603955
