x1,y1,x2,y2,x3,y3,u,v,w
-0.73127151,0.69486747,0.52754924,-0.48986195,-0.00912983,-0.10101787,-0.13849847,-0.07051570,0.02996724
0.67153021,-0.13446586,0.52456016,-0.99578789,-0.10922561,0.44308006,0.14656782,0.41075318,0.49053872
0.80285492,-0.93882003,-0.94910828,0.08282495,0.87829833,-0.23759152,-0.09869670,0.75523033,0.34959506
-0.12422481,-0.00837552,-0.53383110,-0.53826692,-0.56243793,-0.08079307,-0.60312922,0.09611531,0.40291039
0.67515595,0.11290865,0.28458873,-0.62818747,0.98508682,0.71989306,0.78170393,0.06562733,-0.02804601
0.87288117,-0.15578600,0.66007139,0.34061113,-0.39326298,0.17516121,0.34480829,0.42214116,0.15330055
0.01056764,0.17800452,-0.93094834,-0.51452005,0.59480850,-0.17137200,-0.21914074,0.47845759,0.20982145
-0.25059396,-0.12207674,0.01685298,0.55688523,0.04187684,-0.21348981,-0.13353063,0.08706019,0.32101223
-0.91302542,0.40676418,0.96637543,0.18636746,-0.21280063,-0.65930161,-0.35878594,0.92062997,0.43882341
0.72057956,-0.53564774,0.02754333,0.90493478,0.15558962,-0.08173654,0.27356679,0.23444042,0.25546714
0.91423256,-0.98858174,0.56731047,0.64097182,0.77235916,0.48100682,0.83967587,0.02664317,-0.02630858
-0.88775340,0.74002031,0.13999867,-0.60032116,0.00944093,-0.03014978,-0.24921693,0.14819420,0.15586272
0.07695759,0.24697891,0.22490493,-0.08370640,-0.94405003,-0.54078994,-0.28138174,0.34599775,0.35698350
0.59419513,0.63287474,-0.48941192,0.68348966,0.34622705,-0.83353172,0.17410171,0.81781271,0.42836359
0.51117355,-0.50088155,-0.78102275,0.24960417,-0.31115427,-0.86096924,-0.49857198,0.64444170,0.44190749
0.42317985,-0.09059674,-0.35599647,-0.05245797,-0.95273084,-0.22688579,-0.34898583,0.02259455,0.05773416
-0.78247662,0.79963700,0.02023196,-0.58181801,0.21129728,0.63407934,0.11914215,0.62245624,0.50108209
